,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Klay Thompson,32:59,10,16,.625,5,10,.500,2,2,1.000,0,0,0,3,1,1,2,2,27,+11
Stephen Curry,32:19,7,9,.778,6,6,1.000,3,4,.750,0,7,7,8,1,2,1,2,23,+13
Draymond Green,32:10,5,7,.714,5,7,.714,0,2,.000,0,6,6,10,0,1,4,2,15,+11
Andrew Wiggins,28:32,7,12,.583,3,5,.600,0,0,,1,3,4,0,0,3,0,3,17,+10
Trayce Jackson-Davis,24:44,2,5,.400,0,0,,3,5,.600,2,5,7,0,0,3,1,0,7,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Paul,24:56,5,10,.500,1,4,.250,0,0,,0,6,6,9,0,0,3,2,11,+21
Jonathan Kuminga,21:25,2,8,.250,1,3,.333,3,4,.750,0,6,6,3,1,0,0,3,8,+10
Brandin Podziemski,20:20,5,6,.833,3,3,1.000,0,0,,1,2,3,2,0,0,1,0,13,+4
Gary Payton II,13:37,3,6,.500,2,3,.667,1,2,.500,0,1,1,1,0,1,1,2,9,+1
Lester Quinones,1:47,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-2
Gui Santos,1:47,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
Usman Garuba,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-2
Moses Moody,1:47,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-2
Pat Spencer,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Kevon Looney,Did Not Play
Team Totals,240,47,80,.588,26,41,.634,14,21,.667,4,38,42,37,3,12,15,17,134,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Klay Thompson,9:29,3,5,.600,2,4,.500,0,0,,0,0,0,1,0,0,0,0,8,+8
Stephen Curry,7:59,2,3,.667,1,1,1.000,0,1,.000,0,2,2,1,0,1,0,0,5,+4
Draymond Green,7:50,2,2,1.000,2,2,1.000,0,0,,0,2,2,4,0,0,2,1,6,+2
Andrew Wiggins,5:39,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-3
Trayce Jackson-Davis,9:49,2,4,.500,0,0,,1,1,1.000,1,1,2,0,0,2,0,0,5,+4
