,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chimezie Metu,34:46,3,10,.300,1,4,.250,0,0,,3,8,11,2,0,0,3,1,7,-9
Jaden Ivey,31:46,8,17,.471,6,9,.667,3,6,.500,3,2,5,4,0,1,5,2,25,-10
Jalen Duren,27:32,5,12,.417,0,0,,5,6,.833,0,11,11,2,0,0,2,3,15,-5
Marcus Sasser,26:50,3,10,.300,2,4,.500,2,2,1.000,1,2,3,5,0,0,3,2,10,-6
Troy Brown Jr.,22:35,0,2,.000,0,1,.000,0,0,,1,2,3,0,2,0,0,1,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,26:21,7,11,.636,3,5,.600,4,4,1.000,0,3,3,0,1,2,0,1,21,-19
Malachi Flynn,21:10,5,9,.556,2,4,.500,0,0,,0,0,0,4,0,0,2,2,12,-12
James Wiseman,20:28,1,5,.200,0,0,,6,6,1.000,1,5,6,2,0,0,1,2,8,-13
Jared Rhoden,14:40,1,5,.200,0,2,.000,0,0,,0,1,1,0,0,2,0,3,2,0
Jaylen Nowell,10:27,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-12
Buddy Boeheim,3:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+3
Cade Cunningham,Did Not Dress
Taj Gibson,Did Not Play
Stanley Umude,Did Not Dress
Team Totals,240,34,84,.405,14,30,.467,20,24,.833,9,35,44,20,3,5,16,17,102,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chimezie Metu,8:45,0,4,.000,0,2,.000,0,0,,1,1,2,1,0,0,1,1,0,-6
Jaden Ivey,10:25,4,5,.800,2,2,1.000,1,2,.500,1,0,1,1,0,1,3,0,11,-9
Jalen Duren,3:18,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,2,0,-4
Marcus Sasser,8:46,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-8
Troy Brown Jr.,9:03,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,1:35,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+1
Malachi Flynn,3:14,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
James Wiseman,8:42,1,2,.500,0,0,,2,2,1.000,0,4,4,1,0,0,1,1,4,-4
Jared Rhoden,6:12,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,0
Jaylen Nowell, 
Buddy Boeheim, 
Cade Cunningham,Did Not Dress
Taj Gibson,Did Not Play
Stanley Umude,Did Not Dress
Team Totals,60,8,20,.400,3,7,.429,3,4,.750,2,9,11,5,0,2,5,5,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chimezie Metu,8:11,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,0,2,-8
Jaden Ivey,6:12,2,4,.500,2,3,.667,0,0,,0,0,0,1,0,0,1,2,6,-3
Jalen Duren,9:27,3,5,.600,0,0,,0,0,,0,4,4,1,0,0,0,0,6,+1
Marcus Sasser,6:12,0,1,.000,0,1,.000,0,0,,1,0,1,2,0,0,1,0,0,-3
Troy Brown Jr.,3:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,12:00,4,5,.800,2,3,.667,2,2,1.000,0,2,2,0,0,1,0,1,12,-4
Malachi Flynn,5:48,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,2,1,2,-1
James Wiseman,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Jared Rhoden,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jaylen Nowell,5:01,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-1
Buddy Boeheim, 
Cade Cunningham,Did Not Dress
Taj Gibson,Did Not Play
Stanley Umude,Did Not Dress
Team Totals,60,12,20,.600,4,8,.500,2,2,1.000,2,7,9,7,0,1,4,4,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chimezie Metu,16:56,1,5,.200,0,2,.000,0,0,,2,1,3,2,0,0,1,1,2,-14
Jaden Ivey,16:37,6,9,.667,4,5,.800,1,2,.500,1,0,1,2,0,1,4,2,17,-12
Jalen Duren,12:45,3,6,.500,0,0,,0,0,,0,6,6,2,0,0,0,2,6,-3
Marcus Sasser,14:58,1,4,.250,0,1,.000,0,0,,1,1,2,3,0,0,1,0,2,-11
Troy Brown Jr.,12:52,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,13:35,5,6,.833,3,4,.750,2,2,1.000,0,2,2,0,0,1,0,1,15,-3
Malachi Flynn,9:02,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,2,1,4,-1
James Wiseman,11:15,1,2,.500,0,0,,2,2,1.000,0,4,4,1,0,0,1,1,4,-9
Jared Rhoden,6:59,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,0
Jaylen Nowell,5:01,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-1
Buddy Boeheim, 
Cade Cunningham,Did Not Dress
Taj Gibson,Did Not Play
Stanley Umude,Did Not Dress
Team Totals,120,20,40,.500,7,15,.467,5,6,.833,4,16,20,12,0,3,9,9,52,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chimezie Metu,9:21,1,3,.333,0,1,.000,0,0,,1,3,4,0,0,0,2,0,2,+3
Jaden Ivey,9:34,1,6,.167,1,2,.500,2,4,.500,2,2,4,1,0,0,0,0,5,+5
Jalen Duren,7:49,0,1,.000,0,0,,5,6,.833,0,2,2,0,0,0,1,1,5,+7
Marcus Sasser,8:51,2,5,.400,2,3,.667,2,2,1.000,0,1,1,1,0,0,1,1,8,+5
Troy Brown Jr.,7:49,0,1,.000,0,0,,0,0,,1,0,1,0,2,0,0,1,0,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,4:11,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,1,0,0,4,-7
Malachi Flynn,3:09,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-5
James Wiseman,4:11,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-7
Jared Rhoden,2:39,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,-3
Jaylen Nowell,2:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Buddy Boeheim, 
Cade Cunningham,Did Not Dress
Taj Gibson,Did Not Play
Stanley Umude,Did Not Dress
Team Totals,60,5,21,.238,3,7,.429,13,16,.812,4,10,14,3,2,2,4,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chimezie Metu,8:29,1,2,.500,1,1,1.000,0,0,,0,4,4,0,0,0,0,0,3,+2
Jaden Ivey,5:35,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,1,0,3,-3
Jalen Duren,6:58,2,5,.400,0,0,,0,0,,0,3,3,0,0,0,1,0,4,-9
Marcus Sasser,3:01,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,0
