,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,31:05,10,16,.625,3,8,.375,7,10,.700,0,5,5,5,2,1,2,1,30,+15
Andrew Nembhard,27:28,3,7,.429,2,4,.500,0,1,.000,0,2,2,8,0,1,1,3,8,+14
Pascal Siakam,26:37,6,10,.600,0,0,,4,4,1.000,5,4,9,3,0,2,3,4,16,+13
Aaron Nesmith,25:59,3,8,.375,0,4,.000,2,2,1.000,1,3,4,2,2,0,2,4,8,+6
Myles Turner,20:53,6,10,.600,3,7,.429,1,4,.250,1,3,4,1,0,1,2,3,16,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,27:21,4,12,.333,3,9,.333,0,0,,1,1,2,2,2,0,0,2,11,+12
Obi Toppin,21:50,10,14,.714,3,7,.429,0,0,,1,5,6,2,1,1,0,3,23,+5
T.J. McConnell,20:54,8,13,.615,1,1,1.000,0,0,,0,2,2,7,0,0,3,2,17,+2
Isaiah Jackson,17:53,2,3,.667,0,0,,0,0,,5,2,7,2,0,2,0,0,4,+3
Doug McDermott,9:56,1,4,.250,1,4,.250,0,0,,0,0,0,1,2,0,0,1,3,+2
Jalen Smith,4:19,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-1
Quenton Jackson,1:55,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,0
Kendall Brown,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jarace Walker,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
James Johnson,Did Not Play
Team Totals,240,54,99,.545,16,45,.356,16,23,.696,15,29,44,33,9,8,13,23,140,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,10:23,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,1,0,6,-9
Andrew Nembhard,6:04,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Pascal Siakam,10:23,2,3,.667,0,0,,2,2,1.000,2,1,3,1,0,0,1,2,6,-9
Aaron Nesmith,6:04,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,0,0,-8
Myles Turner,6:04,1,3,.333,0,2,.000,1,2,.500,0,2,2,0,0,0,2,0,3,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Sheppard,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Obi Toppin,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
T.J. McConnell,5:56,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,3,-2
Isaiah Jackson,1:37,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-1
Doug McDermott,5:56,1,3,.333,1,3,.333,0,0,,0,0,0,1,1,0,0,1,3,-2
Jalen Smith,4:19,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-1
Quenton Jackson, 
Kendall Brown, 
Jarace Walker, 
James Johnson,Did Not Play
Team Totals,60,9,21,.429,4,13,.308,3,4,.750,4,7,11,4,1,0,6,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,6:07,2,3,.667,0,1,.000,5,6,.833,0,0,0,1,0,1,0,0,9,+9
Andrew Nembhard,6:07,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,1,0,0,3,+9
Pascal Siakam,6:07,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,1,1,0,4,+9
Aaron Nesmith,8:00,2,2,1.000,0,0,,1,1,1.000,0,2,2,0,1,0,1,1,5,+7
