,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Mann,36:45,5,13,.385,1,4,.250,5,6,.833,1,2,3,7,7,0,1,0,16,+2
Brandon Miller,33:24,9,17,.529,5,11,.455,4,4,1.000,0,3,3,2,0,0,1,2,27,+1
Miles Bridges,29:51,7,14,.500,2,5,.400,2,2,1.000,1,2,3,3,0,0,2,0,18,-9
Grant Williams,26:33,5,6,.833,2,3,.667,4,4,1.000,1,5,6,5,1,0,3,5,16,-1
Vasilije Micić,21:43,0,3,.000,0,2,.000,2,2,1.000,0,2,2,5,1,0,2,0,2,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aleksej Pokusevski,25:31,3,6,.500,2,2,1.000,2,2,1.000,0,6,6,1,1,1,1,2,10,+5
Nick Richards,18:44,3,4,.750,0,0,,1,1,1.000,0,2,2,1,1,0,1,6,7,+1
Dāvis Bertāns,18:09,2,7,.286,1,6,.167,1,1,1.000,0,1,1,0,0,1,1,1,6,+10
JT Thor,18:09,3,5,.600,0,2,.000,0,0,,2,2,4,1,0,0,1,2,6,+10
Bryce McGowens,8:28,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,-1
Marques Bolden,2:43,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,+1
Amari Bailey,Did Not Play
Leaky Black,Did Not Play
Nick Smith Jr.,Did Not Play
Team Totals,240,40,79,.506,14,36,.389,21,22,.955,5,28,33,25,11,2,13,18,115,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Mann,9:32,1,1,1.000,0,0,,3,3,1.000,0,1,1,2,2,0,0,0,5,-9
Brandon Miller,8:56,2,4,.500,1,2,.500,2,2,1.000,0,0,0,0,0,0,0,1,7,+1
Miles Bridges,8:56,3,6,.500,2,3,.667,0,0,,1,0,1,1,0,0,1,0,8,+1
Grant Williams,7:03,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,1,2,2,+2
Vasilije Micić,7:46,0,0,,0,0,,0,0,,0,0,0,3,1,0,0,0,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aleksej Pokusevski,6:42,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,-3
Nick Richards,4:57,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-7
Dāvis Bertāns,3:04,0,1,.000,0,1,.000,1,1,1.000,0,0,0,0,0,1,0,0,1,-6
JT Thor,3:04,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Bryce McGowens, 
Marques Bolden, 
Amari Bailey,Did Not Play
Leaky Black,Did Not Play
Nick Smith Jr.,Did Not Play
Team Totals,60,10,19,.526,4,9,.444,6,6,1.000,1,4,5,8,3,1,3,5,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Mann,5:54,0,4,.000,0,1,.000,0,0,,1,1,2,2,2,0,1,0,0,+6
Brandon Miller,7:43,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,0,1,0,7,-1
Miles Bridges,5:18,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-7
Grant Williams,6:06,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-7
Vasilije Micić,6:06,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aleksej Pokusevski,4:17,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,0
Nick Richards,5:54,1,1,1.000,0,0,,1,1,1.000,0,1,1,1,1,0,0,1,3,+6
Dāvis Bertāns,6:42,1,4,.250,1,4,.250,0,0,,0,0,0,0,0,0,1,0,3,+6
JT Thor,6:42,2,2,1.000,0,0,,0,0,,2,1,3,0,0,0,1,1,4,+6
Bryce McGowens,5:18,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,-7
Marques Bolden, 
Amari Bailey,Did Not Play
Leaky Black,Did Not Play
Nick Smith Jr.,Did Not Play
Team Totals,60,10,21,.476,4,11,.364,1,1,1.000,3,8,11,7,3,0,6,2,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Mann,15:26,1,5,.200,0,1,.000,3,3,1.000,1,2,3,4,4,0,1,0,5,-3
Brandon Miller,16:39,5,9,.556,2,5,.400,2,2,1.000,0,1,1,0,0,0,1,1,14,0
Miles Bridges,14:14,3,6,.500,2,3,.667,0,0,,1,0,1,2,0,0,2,0,8,-6
Grant Williams,13:09,2,3,.667,1,2,.500,0,0,,0,3,3,2,0,0,1,2,5,-5
Vasilije Micić,13:52,0,1,.000,0,1,.000,0,0,,0,1,1,5,1,0,1,0,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aleksej Pokusevski,10:59,2,3,.667,1,1,1.000,0,0,,0,3,3,1,0,0,0,1,5,-3
Nick Richards,10:51,2,2,1.000,0,0,,1,1,1.000,0,1,1,1,1,0,1,2,5,-1
Dāvis Bertāns,9:46,1,5,.200,1,5,.200,1,1,1.000,0,0,0,0,0,1,1,0,4,0
JT Thor,9:46,2,3,.667,0,1,.000,0,0,,2,1,3,0,0,0,1,1,4,0
Bryce McGowens,5:18,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,-7
Marques Bolden, 
Amari Bailey,Did Not Play
Leaky Black,Did Not Play
Nick Smith Jr.,Did Not Play
Team Totals,120,20,40,.500,8,20,.400,7,7,1.000,4,12,16,15,6,1,9,7,55,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Mann,9:19,1,3,.333,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,0,3,-11
Brandon Miller,9:17,3,6,.500,2,4,.500,0,0,,0,1,1,0,0,0,0,0,8,-10
Miles Bridges,9:17,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-10
Grant Williams,5:10,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-11
Vasilije Micić,7:51,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,0,2,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aleksej Pokusevski,6:50,1,2,.500,1,1,1.000,2,2,1.000,0,3,3,0,1,0,1,1,5,+2
Nick Richards,4:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,+1
Dāvis Bertāns,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
JT Thor,2:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+1
Bryce McGowens, 
Marques Bolden,2:43,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,+1
Amari Bailey,Did Not Play
Leaky Black,Did Not Play
Nick Smith Jr.,Did Not Play
Team Totals,60,7,20,.350,3,9,.333,5,5,1.000,0,8,8,4,1,0,3,6,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Mann,12:00,3,5,.600,1,2,.500,1,2,.500,0,0,0,1,3,0,0,0,8,+16
