,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,38:46,6,7,.857,0,0,,1,3,.333,5,10,15,3,2,1,2,5,13,-17
Anthony Edwards,34:52,9,18,.500,2,6,.333,5,7,.714,0,2,2,4,0,0,1,1,25,-16
Jaden McDaniels,33:30,4,8,.500,1,4,.250,0,0,,0,2,2,3,1,0,0,2,9,-17
Naz Reid,30:21,6,19,.316,0,4,.000,1,5,.200,1,5,6,2,2,1,0,4,13,+3
Mike Conley,30:14,7,12,.583,5,9,.556,0,0,,1,3,4,2,1,0,3,0,19,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,18:14,2,4,.500,1,1,1.000,0,0,,1,0,1,2,1,0,2,1,5,-8
Kyle Anderson,15:13,1,5,.200,0,1,.000,2,2,1.000,0,1,1,2,0,2,0,4,4,-11
Monte Morris,14:46,2,4,.500,2,2,1.000,0,0,,0,1,1,1,0,1,0,1,6,-4
Jordan McLaughlin,10:24,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0
Josh Minott,2:44,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+7
Daishen Nix,2:44,1,1,1.000,1,1,1.000,2,2,1.000,1,0,1,1,0,0,1,1,5,+7
Leonard Miller,2:44,1,1,1.000,0,0,,1,2,.500,0,2,2,1,0,0,0,1,3,+7
Luka Garza,2:44,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,+7
Wendell Moore Jr.,2:44,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+7
T.J. Warren,Did Not Play
Team Totals,240,41,82,.500,13,30,.433,12,21,.571,9,26,35,23,9,5,9,21,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,9:30,1,2,.500,0,0,,0,0,,1,4,5,0,1,0,2,0,2,-3
Anthony Edwards,12:00,3,6,.500,0,1,.000,0,0,,0,1,1,3,0,0,0,0,6,+2
Jaden McDaniels,9:30,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,3,-3
Naz Reid,8:59,2,6,.333,0,2,.000,0,0,,0,4,4,1,1,1,0,1,4,+4
Mike Conley,6:29,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,5,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,2:30,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+5
Kyle Anderson,5:31,1,3,.333,0,0,,0,0,,0,0,0,2,0,1,0,0,2,+3
Monte Morris,5:31,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,6,+3
Jordan McLaughlin, 
Josh Minott, 
Daishen Nix, 
Leonard Miller, 
Luka Garza, 
Wendell Moore Jr., 
T.J. Warren,Did Not Play
Team Totals,60,12,23,.522,4,7,.571,0,0,,1,11,12,9,2,2,2,3,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,9:58,3,3,1.000,0,0,,1,1,1.000,2,2,4,0,0,1,0,1,7,+3
Anthony Edwards,6:05,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,0,4,0
Jaden McDaniels,8:35,2,3,.667,0,0,,0,0,,0,1,1,2,1,0,0,0,4,+6
Naz Reid,6:25,1,4,.250,0,0,,0,0,,0,0,0,0,1,0,0,2,2,+5
Mike Conley,8:38,2,5,.400,1,4,.250,0,0,,0,1,1,0,1,0,1,0,5,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,4:31,0,0,,0,0,,0,0,,1,0,1,1,1,0,2,0,0,-3
Kyle Anderson,6:31,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,1,0,1,2,-8
Monte Morris,3:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Jordan McLaughlin,5:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Josh Minott, 
Daishen Nix, 
Leonard Miller, 
Luka Garza, 
Wendell Moore Jr., 
T.J. Warren,Did Not Play
Team Totals,60,10,21,.476,1,5,.200,3,3,1.000,3,6,9,4,4,2,4,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,19:28,4,5,.800,0,0,,1,1,1.000,3,6,9,0,1,1,2,1,9,0
Anthony Edwards,18:05,5,9,.556,0,1,.000,0,0,,0,2,2,4,0,0,1,0,10,+2
Jaden McDaniels,18:05,3,4,.750,1,1,1.000,0,0,,0,2,2,3,1,0,0,1,7,+3
Naz Reid,15:24,3,10,.300,0,2,.000,0,0,,0,4,4,1,2,1,0,3,6,+9
Mike Conley,15:07,4,7,.571,2,5,.400,0,0,,0,2,2,1,1,0,1,0,10,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,7:01,0,1,.000,0,0,,0,0,,1,0,1,2,1,0,2,0,0,+2
Kyle Anderson,12:02,1,5,.200,0,1,.000,2,2,1.000,0,1,1,2,0,2,0,1,4,-5
Monte Morris,8:53,2,3,.667,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,6,+4
Jordan McLaughlin,5:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Josh Minott, 
Daishen Nix, 
Leonard Miller, 
Luka Garza, 
Wendell Moore Jr., 
T.J. Warren,Did Not Play
Team Totals,120,22,44,.500,5,12,.417,3,3,1.000,4,17,21,13,6,4,6,7,52,
,Basic Box Score Stats
