,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,33:39,7,15,.467,1,2,.500,5,8,.625,0,6,6,6,1,0,2,0,20,-8
Jalen Suggs,26:34,6,11,.545,2,6,.333,4,6,.667,1,2,3,0,1,0,0,5,18,-14
Wendell Carter Jr.,23:13,3,9,.333,1,4,.250,2,2,1.000,2,1,3,0,0,0,1,2,9,-14
Markelle Fultz,22:28,3,5,.600,0,0,,0,0,,0,2,2,1,2,0,1,0,6,-10
Caleb Houstan,11:21,0,5,.000,0,5,.000,0,0,,0,2,2,1,0,0,0,0,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,32:38,9,14,.643,3,4,.750,2,2,1.000,0,4,4,4,0,1,5,1,23,-12
Anthony Black,22:11,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,2,5,-8
Moritz Wagner,20:46,3,6,.500,0,2,.000,1,1,1.000,1,3,4,0,0,0,2,3,7,-8
Joe Ingles,15:24,1,2,.500,1,1,1.000,0,0,,0,3,3,3,0,0,2,1,3,-10
Jonathan Isaac,13:19,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-12
Jett Howard,6:24,1,4,.250,1,4,.250,0,0,,0,0,0,1,1,0,0,0,3,+4
Admiral Schofield,4:01,1,2,.500,1,1,1.000,0,0,,1,1,2,1,0,0,1,1,3,+4
Goga Bitadze,4:01,0,1,.000,0,0,,2,4,.500,0,3,3,0,0,0,0,0,2,+4
Chuma Okeke,4:01,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+4
Kevon Harris,Did Not Play
Team Totals,240,36,78,.462,11,30,.367,16,23,.696,5,29,34,19,6,1,15,15,99,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,10:50,2,3,.667,0,0,,1,2,.500,0,5,5,3,0,0,1,0,5,-4
Jalen Suggs,7:59,2,3,.667,0,0,,0,2,.000,0,2,2,0,0,0,0,1,4,-8
Wendell Carter Jr.,7:59,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,1,1,5,-8
Markelle Fultz,7:14,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,-4
