,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
JT Thor,41:06,8,11,.727,3,6,.500,1,2,.500,0,9,9,4,2,3,0,2,20,+11
Marques Bolden,29:52,7,10,.700,0,1,.000,0,0,,4,4,8,2,1,4,1,1,14,+5
Bryce McGowens,29:43,6,14,.429,2,6,.333,4,4,1.000,1,2,3,4,0,1,0,0,18,-7
Tre Mann,24:14,4,11,.364,3,6,.500,0,0,,0,4,4,6,1,0,2,2,11,-3
Vasilije Micić,9:30,1,4,.250,1,3,.333,0,0,,0,1,1,4,0,0,1,0,3,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nick Smith Jr.,32:34,9,20,.450,6,11,.545,0,0,,1,5,6,3,1,0,1,0,24,+9
Leaky Black,32:02,4,4,1.000,2,2,1.000,1,1,1.000,0,6,6,5,2,1,0,3,11,+22
Amari Bailey,21:38,4,10,.400,1,2,.500,2,2,1.000,4,1,5,5,2,0,1,1,11,+17
Aleksej Pokusevski,19:21,3,7,.429,1,3,.333,1,2,.500,0,5,5,3,1,0,3,2,8,+4
Dāvis Bertāns,Did Not Dress
Nick Richards,Did Not Dress
Grant Williams,Did Not Dress
Team Totals,240,46,91,.505,19,40,.475,9,11,.818,10,37,47,36,10,9,9,11,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
JT Thor,7:23,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,1,0,0,5,-9
Marques Bolden,9:30,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,0,1,2,-8
Bryce McGowens,9:30,1,6,.167,1,3,.333,0,0,,1,0,1,0,0,1,0,0,3,-8
Tre Mann,8:55,0,3,.000,0,2,.000,0,0,,0,3,3,2,1,0,0,0,0,-5
Vasilije Micić,9:30,1,4,.250,1,3,.333,0,0,,0,1,1,4,0,0,1,0,3,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nick Smith Jr.,5:35,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-5
