,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,30:47,7,11,.636,0,0,,1,2,.500,4,11,15,5,4,0,4,1,15,+19
Aaron Gordon,26:05,4,6,.667,0,1,.000,7,8,.875,3,2,5,5,0,1,1,2,15,+25
Kentavious Caldwell-Pope,24:50,5,6,.833,1,2,.500,0,1,.000,0,4,4,3,0,1,2,1,11,+23
Jamal Murray,24:16,7,14,.500,3,7,.429,4,4,1.000,2,4,6,4,0,1,2,1,21,+27
Michael Porter Jr.,24:16,5,12,.417,2,8,.250,0,0,,0,5,5,4,0,2,2,0,12,+27
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Braun,24:57,6,14,.429,2,6,.333,5,6,.833,5,5,10,5,2,0,1,2,19,-7
Reggie Jackson,23:44,3,9,.333,2,6,.333,3,3,1.000,0,0,0,2,0,0,2,3,11,-12
Peyton Watson,20:32,5,7,.714,1,1,1.000,0,0,,1,1,2,1,1,0,1,3,11,-7
Justin Holiday,19:11,1,5,.200,1,5,.200,0,0,,0,1,1,3,1,0,1,1,3,-7
Zeke Nnaji,17:13,3,5,.600,0,0,,0,0,,1,3,4,0,1,0,0,3,6,-4
Braxton Key,1:23,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,-3
Julian Strawther,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
Hunter Tyson,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
DeAndre Jordan,Did Not Play
Jalen Pickett,Did Not Play
Team Totals,240,46,89,.517,12,36,.333,22,26,.846,16,38,54,32,9,5,17,17,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,12:00,3,5,.600,0,0,,0,0,,2,7,9,2,1,0,3,0,6,+3
Aaron Gordon,8:35,0,1,.000,0,1,.000,3,4,.750,0,0,0,0,0,1,0,1,3,+5
Kentavious Caldwell-Pope,9:26,1,1,1.000,0,0,,0,1,.000,0,2,2,3,0,1,1,0,2,+3
Jamal Murray,7:59,4,6,.667,3,3,1.000,0,0,,1,0,1,0,0,0,0,0,11,+5
Michael Porter Jr.,7:59,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,2,0,2,+5
