,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,37:37,14,21,.667,6,6,1.000,2,2,1.000,3,3,6,5,2,1,1,2,36,+19
Kevin Durant,37:35,6,14,.429,1,3,.333,2,2,1.000,2,2,4,1,2,1,4,3,15,+30
Devin Booker,35:37,6,16,.375,3,8,.375,8,10,.800,2,2,4,7,1,0,1,3,23,+20
Grayson Allen,32:46,8,11,.727,3,3,1.000,1,1,1.000,1,5,6,1,2,0,0,1,20,+15
Jusuf Nurkić,20:10,3,4,.750,0,1,.000,0,0,,2,3,5,8,5,1,1,4,6,+27
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,23:17,1,4,.250,1,3,.333,1,2,.500,0,2,2,3,0,0,1,3,4,+16
Drew Eubanks,14:34,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,3,0,+1
Thaddeus Young,8:48,2,2,1.000,0,0,,1,1,1.000,1,0,1,0,0,0,2,4,5,-8
Bol Bol,7:32,2,3,.667,0,1,.000,0,0,,1,1,2,0,0,0,2,0,4,-5
Josh Okogie,4:34,2,3,.667,1,1,1.000,0,0,,1,0,1,0,1,0,0,0,5,-5
Nassir Little,4:34,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-5
Isaiah Thomas,4:34,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,-5
Saben Lee,4:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
David Roddy,3:46,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
Ish Wainright,Did Not Play
Team Totals,240,47,86,.547,16,29,.552,15,18,.833,13,19,32,28,13,3,12,24,125,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,9:50,6,7,.857,4,4,1.000,0,0,,1,0,1,1,2,1,0,1,16,+16
Kevin Durant,12:00,3,6,.500,0,1,.000,2,2,1.000,1,0,1,0,1,1,0,0,8,+22
Devin Booker,12:00,2,3,.667,2,2,1.000,2,3,.667,0,1,1,2,0,0,1,0,8,+22
Grayson Allen,7:59,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,5,+12
Jusuf Nurkić,7:59,2,3,.667,0,1,.000,0,0,,1,1,2,4,3,0,0,1,4,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,6:11,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,+16
Drew Eubanks,4:01,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+10
Thaddeus Young, 
Bol Bol, 
Josh Okogie, 
Nassir Little, 
Isaiah Thomas, 
Saben Lee, 
David Roddy, 
Ish Wainright,Did Not Play
Team Totals,60,16,24,.667,8,11,.727,4,5,.800,3,3,6,10,7,2,1,2,44,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,10:18,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-10
Kevin Durant,7:58,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,1,2,-6
Devin Booker,7:58,2,5,.400,0,2,.000,0,0,,0,1,1,3,1,0,0,1,4,-6
Grayson Allen,8:48,3,5,.600,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,-7
Jusuf Nurkić,1:53,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,2,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,7:55,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,2,0,-6
Drew Eubanks,6:49,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-4
Thaddeus Young,2:36,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,1,3,-2
Bol Bol,5:44,2,3,.667,0,1,.000,0,0,,1,0,1,0,0,0,2,0,4,-2
Josh Okogie, 
Nassir Little, 
Isaiah Thomas, 
Saben Lee, 
David Roddy, 
Ish Wainright,Did Not Play
Team Totals,60,10,23,.435,1,5,.200,1,1,1.000,3,2,5,6,3,0,5,9,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,20:08,7,11,.636,4,4,1.000,0,0,,2,0,2,1,2,1,0,2,18,+6
Kevin Durant,19:58,4,8,.500,0,1,.000,2,2,1.000,2,0,2,0,2,1,0,1,10,+16
Devin Booker,19:58,4,8,.500,2,4,.500,2,3,.667,0,2,2,5,1,0,1,1,12,+16
Grayson Allen,16:47,5,7,.714,2,2,1.000,0,0,,0,1,1,1,1,0,0,0,12,+5
Jusuf Nurkić,9:52,2,3,.667,0,1,.000,0,0,,1,1,2,5,4,0,1,3,4,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,14:06,1,4,.250,1,3,.333,0,0,,0,1,1,3,0,0,1,2,3,+10
Drew Eubanks,10:50,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+6
Thaddeus Young,2:36,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,1,3,-2
Bol Bol,5:44,2,3,.667,0,1,.000,0,0,,1,0,1,0,0,0,2,0,4,-2
Josh Okogie, 
Nassir Little, 
Isaiah Thomas, 
Saben Lee, 
David Roddy, 
Ish Wainright,Did Not Play
Team Totals,120,26,47,.553,9,16,.562,5,6,.833,6,5,11,16,10,2,6,11,66,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,10:03,3,5,.600,0,0,,0,0,,0,1,1,1,0,0,1,0,6,0
Kevin Durant,10:11,1,4,.250,1,2,.500,0,0,,0,1,1,0,0,0,2,1,3,+1
Devin Booker,12:00,2,7,.286,1,4,.250,6,7,.857,2,0,2,1,0,0,0,2,11,-2
Grayson Allen,8:33,0,1,.000,0,0,,0,0,,1,4,5,0,1,0,0,1,0,-3
Jusuf Nurkić,2:52,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,1,0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,5:24,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,-1
Drew Eubanks,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-5
Thaddeus Young,5:24,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,2,2,-1
Bol Bol,1:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Josh Okogie, 
Nassir Little, 
Isaiah Thomas, 
Saben Lee, 
David Roddy, 
Ish Wainright,Did Not Play
Team Totals,60,7,18,.389,2,6,.333,7,9,.778,4,7,11,3,1,1,4,10,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,7:26,4,5,.800,2,2,1.000,2,2,1.000,1,2,3,3,0,0,0,0,12,+13
Kevin Durant,7:26,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,2,1,2,+13
Devin Booker,3:39,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+6
Grayson Allen,7:26,3,3,1.000,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,8,+13
Jusuf Nurkić,7:26,1,1,1.000,0,0,,0,0,,1,2,3,2,1,0,0,0,2,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,3:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+7
Drew Eubanks, 
Thaddeus Young,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Bol Bol, 
Josh Okogie,4:34,2,3,.667,1,1,1.000,0,0,,1,0,1,0,1,0,0,0,5,-5
Nassir Little,4:34,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-5
Isaiah Thomas,4:34,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,-5
Saben Lee,4:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
David Roddy,3:46,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
Ish Wainright,Did Not Play
Team Totals,60,14,21,.667,5,7,.714,3,3,1.000,3,7,10,9,2,0,2,3,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal,17:29,7,10,.700,2,2,1.000,2,2,1.000,1,3,4,4,0,0,1,0,18,+13
Kevin Durant,17:37,2,6,.333,1,2,.500,0,0,,0,2,2,1,0,0,4,2,5,+14
Devin Booker,15:39,2,8,.250,1,4,.250,6,7,.857,2,0,2,2,0,0,0,2,11,+4
Grayson Allen,15:59,3,4,.750,1,1,1.000,1,1,1.000,1,4,5,0,1,0,0,1,8,+10
Jusuf Nurkić,10:18,1,1,1.000,0,0,,0,0,,1,2,3,3,1,1,0,1,2,+17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,9:11,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,+6
Drew Eubanks,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-5
Thaddeus Young,6:12,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,3,2,-6
Bol Bol,1:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Josh Okogie,4:34,2,3,.667,1,1,1.000,0,0,,1,0,1,0,1,0,0,0,5,-5
Nassir Little,4:34,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-5
Isaiah Thomas,4:34,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,-5
Saben Lee,4:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
David Roddy,3:46,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
Ish Wainright,Did Not Play
