,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Olivier-Maxence Prosper,37:18,5,14,.357,2,6,.333,3,5,.600,3,5,8,1,0,0,2,2,15,-32
Josh Green,31:17,1,8,.125,0,4,.000,2,2,1.000,1,2,3,3,0,0,1,0,4,-44
Jaden Hardy,28:50,4,14,.286,1,4,.250,0,0,,0,4,4,3,2,0,4,5,9,-26
Dwight Powell,26:59,1,2,.500,0,1,.000,0,0,,4,4,8,1,1,1,1,3,2,-31
Tim Hardaway Jr.,19:40,1,9,.111,1,6,.167,0,0,,0,1,1,3,2,0,0,2,3,-32
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Williams,29:47,8,21,.381,1,6,.167,5,6,.833,1,4,5,3,0,0,3,1,22,-29
Markieff Morris,23:41,2,7,.286,2,4,.500,2,2,1.000,0,5,5,3,0,1,2,0,8,-16
A.J. Lawson,23:32,5,13,.385,0,5,.000,2,2,1.000,1,4,5,2,0,0,1,1,12,-18
Alex Fudge,18:55,5,9,.556,1,3,.333,0,0,,2,0,2,0,3,0,0,1,11,-17
Dante Exum,Did Not Dress
Derrick Jones Jr.,Did Not Dress
Team Totals,240,32,97,.330,8,39,.205,14,17,.824,12,29,41,19,8,2,14,15,86,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Olivier-Maxence Prosper,10:35,3,3,1.000,2,2,1.000,3,5,.600,0,2,2,1,0,0,1,0,11,-11
Josh Green,8:49,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-11
Jaden Hardy,8:20,0,3,.000,0,0,,0,0,,0,1,1,1,1,0,3,3,0,-17
Dwight Powell,5:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-11
Tim Hardaway Jr.,7:52,0,4,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Williams,6:50,2,3,.667,0,0,,2,2,1.000,0,3,3,1,0,0,0,0,6,-6
Markieff Morris,6:50,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,3,-6
