,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kris Murray,43:35,3,15,.200,1,7,.143,2,2,1.000,7,11,18,0,1,1,2,3,9,-30
Rayan Rupert,40:16,4,12,.333,2,7,.286,1,2,.500,3,3,6,5,0,0,2,1,11,-25
Dalano Banton,38:57,6,26,.231,0,15,.000,5,6,.833,0,3,3,7,3,0,5,2,17,-38
Justin Minaya,37:33,3,10,.300,1,6,.167,1,1,1.000,6,0,6,2,0,0,2,5,8,-40
Moses Brown,15:07,4,7,.571,0,0,,1,2,.500,2,5,7,0,2,0,2,2,9,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taze Moore,30:09,5,14,.357,1,5,.200,1,2,.500,4,4,8,4,1,0,2,2,12,-27
Duop Reath,24:09,5,12,.417,2,5,.400,2,2,1.000,1,5,6,0,3,1,1,2,14,-29
Ibou Badji,10:13,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,1,2,2,+4
Scoot Henderson,Did Not Dress
Shaedon Sharpe,Did Not Dress
Anfernee Simons,Did Not Dress
Matisse Thybulle,Did Not Dress
Team Totals,240,31,98,.316,7,45,.156,13,17,.765,23,31,54,18,11,2,17,19,82,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kris Murray,11:09,0,4,.000,0,3,.000,2,2,1.000,3,3,6,0,0,0,1,1,2,-14
Rayan Rupert,6:52,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,1,1,0,-4
Dalano Banton,10:49,2,9,.222,0,7,.000,0,0,,0,1,1,1,0,0,1,0,4,-14
Justin Minaya,12:00,1,4,.250,0,3,.000,1,1,1.000,2,0,2,0,0,0,1,2,3,-12
Moses Brown,4:01,1,3,.333,0,0,,0,0,,1,2,3,0,2,0,1,1,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taze Moore,7:09,1,4,.250,0,2,.000,0,0,,2,0,2,2,1,0,0,0,2,-4
Duop Reath,7:59,1,3,.333,1,3,.333,2,2,1.000,0,2,2,0,2,0,1,0,5,-8
Ibou Badji, 
Scoot Henderson,Did Not Dress
Shaedon Sharpe,Did Not Dress
Anfernee Simons,Did Not Dress
Matisse Thybulle,Did Not Dress
Team Totals,60,6,28,.214,1,19,.053,5,5,1.000,9,8,17,4,5,0,6,5,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kris Murray,9:31,1,5,.200,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,-8
Rayan Rupert,12:00,3,4,.750,1,2,.500,0,0,,0,2,2,1,0,0,1,0,7,-16
Dalano Banton,9:51,2,8,.250,0,4,.000,0,0,,0,1,1,2,1,0,1,0,4,-18
Justin Minaya,7:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-15
Moses Brown,5:27,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taze Moore,7:00,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-9
Duop Reath,8:42,2,3,.667,0,0,,0,0,,1,3,4,0,1,1,0,0,4,-8
Ibou Badji, 
Scoot Henderson,Did Not Dress
Shaedon Sharpe,Did Not Dress
Anfernee Simons,Did Not Dress
Matisse Thybulle,Did Not Dress
Team Totals,60,9,24,.375,1,8,.125,0,0,,2,10,12,3,2,1,4,1,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kris Murray,20:40,1,9,.111,0,4,.000,2,2,1.000,3,5,8,0,0,0,2,1,4,-22
Rayan Rupert,18:52,3,5,.600,1,3,.333,0,0,,1,2,3,2,0,0,2,1,7,-20
Dalano Banton,20:40,4,17,.235,0,11,.000,0,0,,0,2,2,3,1,0,2,0,8,-32
Justin Minaya,19:29,1,4,.250,0,3,.000,1,1,1.000,2,0,2,0,0,0,1,3,3,-27
Moses Brown,9:28,2,4,.500,0,0,,0,0,,2,3,5,0,2,0,1,1,4,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taze Moore,14:09,1,7,.143,0,3,.000,0,0,,2,1,3,2,1,0,1,0,2,-13
Duop Reath,16:41,3,6,.500,1,3,.333,2,2,1.000,1,5,6,0,3,1,1,0,9,-16
Ibou Badji, 
Scoot Henderson,Did Not Dress
Shaedon Sharpe,Did Not Dress
Anfernee Simons,Did Not Dress
Matisse Thybulle,Did Not Dress
