,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,40:54,6,20,.300,1,5,.200,10,10,1.000,0,9,9,9,3,2,2,0,23,+11
Anthony Davis,40:13,6,16,.375,0,0,,8,10,.800,6,9,15,0,1,3,3,4,20,-5
D'Angelo Russell,36:32,7,14,.500,5,11,.455,2,2,1.000,0,0,0,6,1,1,1,3,21,+16
Austin Reaves,36:27,5,11,.455,2,5,.400,4,4,1.000,0,5,5,6,0,0,2,1,16,+4
Rui Hachimura,32:43,5,6,.833,2,2,1.000,1,2,.500,0,1,1,1,1,0,0,2,13,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,22:20,2,7,.286,2,6,.333,0,0,,0,4,4,0,1,1,0,2,6,+1
Gabe Vincent,17:52,3,6,.500,2,4,.500,1,1,1.000,0,4,4,1,1,0,0,0,9,0
Jaxson Hayes,7:49,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+8
Spencer Dinwiddie,5:10,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-9
Max Christie,Did Not Play
Maxwell Lewis,Did Not Play
Cam Reddish,Did Not Play
Team Totals,240,35,84,.417,14,35,.400,26,29,.897,6,35,41,24,8,7,8,12,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,8:10,1,4,.250,1,2,.500,0,0,,0,1,1,2,1,0,0,0,3,-2
Anthony Davis,12:00,2,6,.333,0,0,,1,2,.500,1,3,4,0,0,1,0,0,5,-8
D'Angelo Russell,9:46,4,7,.571,3,5,.600,2,2,1.000,0,0,0,4,0,1,0,0,13,-3
Austin Reaves,9:04,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,1,0,3,-4
Rui Hachimura,12:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,3:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Gabe Vincent, 
Jaxson Hayes, 
Spencer Dinwiddie,5:10,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-9
Max Christie,Did Not Play
Maxwell Lewis,Did Not Play
Cam Reddish,Did Not Play
Team Totals,60,9,26,.346,5,12,.417,3,4,.750,1,8,9,7,1,2,1,1,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,10:58,3,5,.600,0,0,,6,6,1.000,0,3,3,3,0,1,1,0,12,+13
Anthony Davis,7:14,0,1,.000,0,0,,1,2,.500,0,4,4,0,0,0,1,0,1,+11
D'Angelo Russell,7:13,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,1,2,+15
Austin Reaves,8:38,0,1,.000,0,0,,2,2,1.000,0,1,1,3,0,0,0,1,2,+10
Rui Hachimura,4:25,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,8:34,2,4,.500,2,4,.500,0,0,,0,3,3,0,1,0,0,2,6,+12
Gabe Vincent,8:12,2,3,.667,2,3,.667,0,0,,0,1,1,0,1,0,0,0,6,+13
Jaxson Hayes,4:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+7
Spencer Dinwiddie, 
Max Christie,Did Not Play
Maxwell Lewis,Did Not Play
Cam Reddish,Did Not Play
Team Totals,60,10,17,.588,5,8,.625,9,10,.900,0,12,12,8,3,1,2,4,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,19:08,4,9,.444,1,2,.500,6,6,1.000,0,4,4,5,1,1,1,0,15,+11
Anthony Davis,19:14,2,7,.286,0,0,,2,4,.500,1,7,8,0,0,1,1,0,6,+3
D'Angelo Russell,16:59,5,8,.625,3,5,.600,2,2,1.000,0,0,0,6,0,1,0,1,15,+12
Austin Reaves,17:42,1,4,.250,1,2,.500,2,2,1.000,0,3,3,3,0,0,1,1,5,+6
Rui Hachimura,16:25,2,3,.667,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,5,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,12:24,2,5,.400,2,5,.400,0,0,,0,3,3,0,1,0,0,2,6,+6
Gabe Vincent,8:12,2,3,.667,2,3,.667,0,0,,0,1,1,0,1,0,0,0,6,+13
Jaxson Hayes,4:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+7
Spencer Dinwiddie,5:10,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-9
Max Christie,Did Not Play
Maxwell Lewis,Did Not Play
Cam Reddish,Did Not Play
Team Totals,120,19,43,.442,10,20,.500,12,14,.857,1,20,21,15,4,3,3,5,60,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,9:46,1,3,.333,0,1,.000,2,2,1.000,0,1,1,2,2,1,0,0,4,+3
Anthony Davis,12:00,1,3,.333,0,0,,2,2,1.000,1,2,3,0,1,1,2,3,4,-3
D'Angelo Russell,8:15,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,1,0,+3
Austin Reaves,9:46,3,5,.600,1,2,.500,0,0,,0,2,2,1,0,0,0,0,7,+3
Rui Hachimura,9:06,3,3,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,1,8,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,5:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-7
Gabe Vincent,5:57,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-11
Jaxson Hayes,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Spencer Dinwiddie, 
Max Christie,Did Not Play
Maxwell Lewis,Did Not Play
Cam Reddish,Did Not Play
Team Totals,60,8,20,.400,2,9,.222,5,6,.833,1,8,9,5,3,3,2,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,12:00,1,8,.125,0,2,.000,2,2,1.000,0,4,4,2,0,0,1,0,4,-3
Anthony Davis,8:59,3,6,.500,0,0,,4,4,1.000,4,0,4,0,0,1,0,1,10,-5
D'Angelo Russell,11:18,2,3,.667,2,3,.667,0,0,,0,0,0,0,1,0,1,1,6,+1
Austin Reaves,8:59,1,2,.500,0,1,.000,2,2,1.000,0,0,0,2,0,0,1,0,4,-5
Rui Hachimura,7:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,4:48,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Gabe Vincent,3:43,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,3,-2
Jaxson Hayes,3:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Spencer Dinwiddie, 
Max Christie,Did Not Play
Maxwell Lewis,Did Not Play
Cam Reddish,Did Not Play
Team Totals,60,8,21,.381,2,6,.333,9,9,1.000,4,7,11,4,1,1,3,2,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,21:46,2,11,.182,0,3,.000,4,4,1.000,0,5,5,4,2,1,1,0,8,0
Anthony Davis,20:59,4,9,.444,0,0,,6,6,1.000,5,2,7,0,1,2,2,4,14,-8
D'Angelo Russell,19:33,2,6,.333,2,6,.333,0,0,,0,0,0,0,1,0,1,2,6,+4
Austin Reaves,18:45,4,7,.571,1,3,.333,2,2,1.000,0,2,2,3,0,0,1,0,11,-2
Rui Hachimura,16:18,3,3,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,1,8,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,9:56,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,-5
Gabe Vincent,9:40,1,3,.333,0,1,.000,1,1,1.000,0,3,3,1,0,0,0,0,3,-13
Jaxson Hayes,3:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Spencer Dinwiddie, 
Max Christie,Did Not Play
Maxwell Lewis,Did Not Play
Cam Reddish,Did Not Play
Team Totals,120,16,41,.390,4,15,.267,14,15,.933,5,15,20,9,4,4,5,7,50,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LeBron James,40:54,.471,.325,.250,.500,0.0,23.5,11.6,37.8,3.6,3.7,7.6,29.6,105,101
