,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,42:57,12,23,.522,1,5,.200,11,11,1.000,2,7,9,5,2,0,5,1,36,+19
Rudy Gobert,38:23,6,8,.750,0,0,,7,8,.875,4,10,14,1,1,0,2,2,19,+21
Mike Conley,34:18,6,11,.545,3,7,.429,0,0,,0,4,4,7,1,0,3,5,15,+17
Jaden McDaniels,30:13,1,4,.250,0,1,.000,3,4,.750,3,1,4,1,1,0,0,5,5,+8
Karl-Anthony Towns,23:50,7,16,.438,3,5,.600,1,2,.500,5,8,13,2,0,0,1,4,18,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,33:06,4,10,.400,4,10,.400,4,4,1.000,1,1,2,5,0,0,1,5,16,+23
Naz Reid,17:54,5,10,.500,2,5,.400,1,2,.500,0,1,1,2,0,0,0,2,13,+7
Monte Morris,9:01,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,1,0,0,2,-4
Kyle Anderson,8:22,1,1,1.000,0,0,,0,0,,0,3,3,2,0,0,1,1,2,-5
Luka Garza,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Leonard Miller,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Josh Minott,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Wendell Moore Jr.,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jordan McLaughlin,Did Not Play
T.J. Warren,Did Not Play
Team Totals,240,43,87,.494,13,34,.382,27,31,.871,15,35,50,26,5,1,13,25,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,12:00,4,8,.500,1,4,.250,3,3,1.000,1,1,2,2,0,0,1,0,12,+2
Rudy Gobert,5:28,2,3,.667,0,0,,1,1,1.000,0,2,2,0,1,0,0,2,5,+7
Mike Conley,6:07,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,2,0,+2
Jaden McDaniels,12:00,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,+2
Karl-Anthony Towns,7:59,4,7,.571,2,3,.667,0,0,,0,4,4,0,0,0,0,2,10,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,5:53,0,2,.000,0,2,.000,0,0,,1,0,1,3,0,0,0,0,0,0
Naz Reid,6:32,2,6,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,2,5,-5
Monte Morris, 
Kyle Anderson,4:01,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,1,2,+2
Luka Garza, 
Leonard Miller, 
Josh Minott, 
Wendell Moore Jr., 
Jordan McLaughlin,Did Not Play
T.J. Warren,Did Not Play
Team Totals,60,13,29,.448,4,12,.333,4,4,1.000,3,10,13,9,1,0,2,10,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,7:26,2,4,.500,0,0,,0,0,,1,2,3,1,1,0,1,0,4,+6
Rudy Gobert,12:00,2,2,1.000,0,0,,2,2,1.000,2,4,6,0,0,0,1,0,6,+4
Mike Conley,9:07,4,7,.571,2,5,.400,0,0,,0,0,0,1,0,0,1,1,10,+2
Jaden McDaniels,8:04,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,1,0,0,0,2,+4
Karl-Anthony Towns,4:54,0,1,.000,0,0,,0,0,,2,2,4,1,0,0,1,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nickeil Alexander-Walker,9:16,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,1,0,+5
Naz Reid,4:39,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,+1
Monte Morris,4:34,1,2,.500,0,0,,0,0,,0,0,0,1,0,1,0,0,2,-2
Kyle Anderson, 
Luka Garza, 
Leonard Miller, 
Josh Minott, 
Wendell Moore Jr., 
Jordan McLaughlin,Did Not Play
T.J. Warren,Did Not Play
Team Totals,60,9,19,.474,2,8,.250,5,6,.833,6,9,15,5,2,1,5,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,19:26,6,12,.500,1,4,.250,3,3,1.000,2,3,5,3,1,0,2,0,16,+8
Rudy Gobert,17:28,4,5,.800,0,0,,3,3,1.000,2,6,8,0,1,0,1,2,11,+11
Mike Conley,15:14,4,7,.571,2,5,.400,0,0,,0,0,0,3,0,0,1,3,10,+4
Jaden McDaniels,20:04,0,3,.000,0,1,.000,2,2,1.000,2,1,3,1,1,0,0,1,2,+6
