,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Khris Middleton,39:51,9,22,.409,0,4,.000,7,8,.875,1,9,10,5,1,0,4,4,25,-6
Brook Lopez,38:51,12,18,.667,3,5,.600,0,4,.000,3,6,9,1,0,1,3,0,27,-7
Malik Beasley,34:27,8,12,.667,4,7,.571,0,0,,0,3,3,2,0,0,0,1,20,-19
Patrick Beverley,20:37,3,6,.500,1,1,1.000,2,2,1.000,0,1,1,4,1,0,0,1,9,-8
Bobby Portis,6:59,2,4,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,0,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Jackson Jr.,25:19,2,4,.500,2,4,.500,0,0,,3,3,6,7,3,1,2,4,6,+9
Pat Connaughton,22:24,2,6,.333,0,2,.000,0,0,,0,3,3,3,0,0,0,2,4,-10
A.J. Green,21:29,3,7,.429,2,6,.333,0,0,,0,3,3,1,0,0,0,3,8,-14
Danilo Gallinari,13:05,3,5,.600,0,0,,0,0,,0,3,3,2,0,0,0,0,6,-11
Jae Crowder,12:38,1,4,.250,0,2,.000,0,0,,0,1,1,1,0,1,0,2,2,-6
MarJon Beauchamp,2:10,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,+4
Thanasis Antetokounmpo,2:10,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+4
Team Totals,240,46,90,.511,12,33,.364,9,14,.643,7,35,42,26,5,4,9,18,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Khris Middleton,9:20,2,4,.500,0,1,.000,2,3,.667,0,1,1,1,0,0,1,1,6,+4
Brook Lopez,12:00,3,4,.750,0,1,.000,0,0,,0,3,3,0,0,0,1,0,6,0
Malik Beasley,8:42,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-1
Patrick Beverley,6:59,2,4,.500,0,0,,0,0,,0,1,1,1,1,0,0,1,4,-1
Bobby Portis,6:59,2,4,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,0,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Jackson Jr.,4:55,1,2,.500,1,2,.500,0,0,,0,0,0,2,1,0,0,0,3,-1
Pat Connaughton,5:01,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,4,+1
A.J. Green,3:24,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,+3
Danilo Gallinari, 
Jae Crowder,2:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
MarJon Beauchamp, 
Thanasis Antetokounmpo, 
