,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,39:03,14,26,.538,2,8,.250,5,5,1.000,1,6,7,10,1,0,2,4,35,+28
Kyrie Irving,35:25,6,14,.429,1,7,.143,1,1,1.000,1,3,4,6,2,0,0,4,14,+35
P.J. Washington,29:44,1,7,.143,0,4,.000,0,2,.000,1,4,5,2,0,1,1,2,2,+13
Derrick Jones Jr.,29:34,5,7,.714,2,4,.500,0,1,.000,0,3,3,1,0,3,2,5,12,+20
Daniel Gafford,19:04,2,4,.500,0,0,,4,6,.667,1,4,5,0,1,1,0,0,8,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,24:32,5,5,1.000,0,0,,2,2,1.000,2,5,7,1,0,1,2,4,12,+24
Maxi Kleber,19:02,5,7,.714,5,7,.714,0,0,,0,3,3,1,0,0,1,2,15,+17
Josh Green,17:52,1,3,.333,1,3,.333,1,1,1.000,0,2,2,0,1,0,0,0,4,+4
Dante Exum,10:01,2,4,.500,0,0,,0,0,,0,1,1,4,0,0,0,0,4,+1
A.J. Lawson,5:40,1,2,.500,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,0
Jaden Hardy,5:39,5,8,.625,2,4,.500,2,2,1.000,0,0,0,1,0,0,0,0,14,+2
Dwight Powell,4:24,0,0,,0,0,,0,0,,2,0,2,1,0,0,0,1,0,-2
Markieff Morris,Did Not Play
Team Totals,240,47,87,.540,14,39,.359,15,20,.750,9,31,40,27,5,6,8,22,123,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,11:55,4,9,.444,0,3,.000,0,0,,1,3,4,3,1,0,0,2,8,+1
Kyrie Irving,10:40,2,5,.400,0,3,.000,0,0,,0,0,0,3,0,0,0,0,4,+2
P.J. Washington,7:18,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+2
Derrick Jones Jr.,10:40,3,4,.750,1,2,.500,0,0,,0,1,1,0,0,2,0,0,7,+2
Daniel Gafford,4:54,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,7:06,2,2,1.000,0,0,,0,0,,2,3,5,0,0,0,1,1,4,+1
Maxi Kleber,4:47,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-1
Josh Green,1:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Dante Exum,1:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
A.J. Lawson, 
Jaden Hardy, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,12,26,.462,1,10,.100,0,0,,3,10,13,6,1,2,1,4,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,8:54,3,6,.500,0,2,.000,1,1,1.000,0,1,1,2,0,0,0,0,7,+9
Kyrie Irving,9:58,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,2,+12
P.J. Washington,8:32,0,3,.000,0,3,.000,0,2,.000,1,2,3,1,0,1,0,0,0,-1
Derrick Jones Jr.,6:33,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0,+4
Daniel Gafford,6:46,2,2,1.000,0,0,,4,6,.667,1,1,2,0,0,0,0,0,8,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,5:14,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-1
Maxi Kleber,6:59,4,5,.800,4,5,.800,0,0,,0,0,0,0,0,0,0,0,12,+12
Josh Green,4:46,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-1
Dante Exum,2:18,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1
A.J. Lawson, 
Jaden Hardy, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,11,20,.550,4,11,.364,5,9,.556,2,7,9,6,1,2,0,5,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,20:49,7,15,.467,0,5,.000,1,1,1.000,1,4,5,5,1,0,0,2,15,+10
Kyrie Irving,20:38,3,7,.429,0,3,.000,0,0,,0,1,1,5,0,0,0,1,6,+14
P.J. Washington,15:50,1,5,.200,0,4,.000,0,2,.000,1,2,3,1,0,1,0,0,2,+1
Derrick Jones Jr.,17:13,3,4,.750,1,2,.500,0,0,,0,2,2,0,0,3,0,2,7,+6
Daniel Gafford,11:40,2,4,.500,0,0,,4,6,.667,1,1,2,0,0,0,0,0,8,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,12:20,2,2,1.000,0,0,,0,0,,2,3,5,1,0,0,1,3,4,0
