,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,43:22,5,16,.313,0,6,.000,6,7,.857,0,7,7,13,2,1,1,1,16,-6
Paul George,42:12,6,18,.333,2,10,.200,4,4,1.000,2,9,11,5,1,1,2,3,18,-19
Terance Mann,38:38,5,9,.556,2,4,.500,2,2,1.000,5,1,6,3,0,0,2,5,14,-3
Ivica Zubac,37:02,6,11,.545,0,0,,5,8,.625,4,7,11,1,0,0,1,5,17,-3
P.J. Tucker,20:11,3,5,.600,2,3,.667,0,0,,2,0,2,0,0,0,3,5,8,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,35:58,6,14,.429,2,6,.333,6,8,.750,0,4,4,0,0,0,0,4,20,+6
Russell Westbrook,9:06,2,7,.286,0,1,.000,2,3,.667,1,0,1,1,1,0,0,1,6,-8
Amir Coffey,8:19,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-14
Mason Plumlee,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Brandon Boston Jr.,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Kobe Brown,1:14,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+1
Bones Hyland,1:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Daniel Theis,Did Not Play
Team Totals,240,34,82,.415,8,31,.258,25,32,.781,16,29,45,23,4,2,9,26,101,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,11:07,1,5,.200,0,3,.000,4,4,1.000,0,1,1,3,0,0,0,1,6,-6
Paul George,10:51,3,6,.500,2,3,.667,2,2,1.000,0,4,4,1,0,0,1,2,10,-3
Terance Mann,8:04,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,0,0,-5
Ivica Zubac,10:30,2,3,.667,0,0,,1,2,.500,1,2,3,1,0,0,0,1,5,-1
P.J. Tucker,7:15,1,2,.500,1,1,1.000,0,0,,1,0,1,0,0,0,1,1,3,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,4:45,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+2
Russell Westbrook,3:56,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-3
Amir Coffey,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Mason Plumlee,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland, 
Daniel Theis,Did Not Play
Team Totals,60,7,18,.389,3,7,.429,9,10,.900,4,7,11,6,0,0,2,7,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,12:00,1,3,.333,0,0,,1,2,.500,0,2,2,4,2,1,1,0,3,+8
Paul George,11:02,2,6,.333,0,2,.000,0,0,,1,1,2,2,1,0,0,0,4,+9
Terance Mann,11:15,2,3,.667,1,2,.500,0,0,,0,0,0,2,0,0,0,2,5,+9
Ivica Zubac,12:00,2,4,.500,0,0,,2,2,1.000,2,4,6,0,0,0,0,0,6,+8
P.J. Tucker, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,12:00,4,8,.500,0,2,.000,0,0,,0,2,2,0,0,0,0,2,8,+8
Russell Westbrook,0:45,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-1
Amir Coffey,0:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
Mason Plumlee, 
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland, 
Daniel Theis,Did Not Play
Team Totals,60,11,26,.423,1,7,.143,3,4,.750,4,9,13,8,3,1,1,5,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,23:07,2,8,.250,0,3,.000,5,6,.833,0,3,3,7,2,1,1,1,9,+2
Paul George,21:53,5,12,.417,2,5,.400,2,2,1.000,1,5,6,3,1,0,1,2,14,+6
Terance Mann,19:19,2,4,.500,1,2,.500,0,0,,2,0,2,2,0,0,0,2,5,+4
Ivica Zubac,22:30,4,7,.571,0,0,,3,4,.750,3,6,9,1,0,0,0,1,11,+7
P.J. Tucker,7:15,1,2,.500,1,1,1.000,0,0,,1,0,1,0,0,0,1,1,3,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,16:45,4,8,.500,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,2,10,+10
Russell Westbrook,4:41,0,3,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,1,0,-4
Amir Coffey,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-8
Mason Plumlee,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland, 
Daniel Theis,Did Not Play
Team Totals,120,18,44,.409,4,14,.286,12,14,.857,8,16,24,14,3,1,3,12,52,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,9:29,2,5,.400,0,2,.000,0,0,,0,2,2,2,0,0,0,0,4,-9
Paul George,12:00,1,4,.250,0,3,.000,2,2,1.000,1,2,3,1,0,1,1,1,4,-15
Terance Mann,11:09,1,2,.500,1,1,1.000,0,0,,2,1,3,0,0,0,1,1,3,-13
Ivica Zubac,7:32,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-15
P.J. Tucker,7:35,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,1,1,2,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,7:13,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,1,1,-6
Russell Westbrook,4:25,2,4,.500,0,0,,2,3,.667,0,0,0,0,1,0,0,0,6,-4
Amir Coffey,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Mason Plumlee, 
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland, 
Daniel Theis,Did Not Play
Team Totals,60,7,20,.350,1,8,.125,5,7,.714,5,6,11,3,1,1,4,5,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,10:46,1,3,.333,0,1,.000,1,1,1.000,0,2,2,4,0,0,0,0,3,+1
Paul George,8:19,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-10
Terance Mann,8:10,2,3,.667,0,1,.000,2,2,1.000,1,0,1,1,0,0,1,2,6,+6
Ivica Zubac,7:00,2,3,.667,0,0,,2,4,.500,0,1,1,0,0,0,0,3,6,+5
P.J. Tucker,5:21,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,3,3,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,12:00,2,4,.500,2,3,.667,3,4,.750,0,1,1,0,0,0,0,1,9,+2
Russell Westbrook, 
Amir Coffey,4:42,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-4
Mason Plumlee, 
Brandon Boston Jr.,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Kobe Brown,1:14,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+1
Bones Hyland,1:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Daniel Theis,Did Not Play
Team Totals,60,9,18,.500,3,9,.333,8,11,.727,3,7,10,6,0,0,2,9,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,20:15,3,8,.375,0,3,.000,1,1,1.000,0,4,4,6,0,0,0,0,7,-8
Paul George,20:19,1,6,.167,0,5,.000,2,2,1.000,1,4,5,2,0,1,1,1,4,-25
Terance Mann,19:19,3,5,.600,1,2,.500,2,2,1.000,3,1,4,1,0,0,2,3,9,-7
Ivica Zubac,14:32,2,4,.500,0,0,,2,4,.500,1,1,2,0,0,0,1,4,6,-10
P.J. Tucker,12:56,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,2,4,5,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,19:13,2,6,.333,2,4,.500,4,6,.667,0,2,2,0,0,0,0,2,10,-4
Russell Westbrook,4:25,2,4,.500,0,0,,2,3,.667,0,0,0,0,1,0,0,0,6,-4
Amir Coffey,5:19,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-6
Mason Plumlee, 
Brandon Boston Jr.,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Kobe Brown,1:14,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+1
Bones Hyland,1:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Daniel Theis,Did Not Play
Team Totals,120,16,38,.421,4,17,.235,13,18,.722,8,13,21,9,1,1,6,14,49,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,43:22,.419,.313,.375,.438,0.0,16.5,8.6,50.5,2.6,2.4,5.0,21.2,119,126,6.2
Paul George,42:12,.455,.389,.556,.222,5.3,21.8,13.9,20.9,1.3,2.4,9.2,23.6,108,125,0.6
Terance Mann,38:38,.709,.667,.444,.222,14.4,2.6,8.3,13.4,0.0,0.0,16.8,14.0,137,138,1.0
Ivica Zubac,37:02,.585,.545,.000,.727,12.1,19.3,15.8,4.9,0.0,0.0,6.4,19.1,127,130,-2.2
P.J. Tucker,20:11,.800,.800,.600,.000,11.1,0.0,5.3,0.0,0.0,0.0,37.5,18.1,92,138,-7.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Norman Powell,35:58,.571,.500,.429,.571,0.0,11.4,5.9,0.0,0.0,0.0,0.0,22.3,129,134,-2.1
Russell Westbrook,9:06,.361,.286,.143,.429,12.3,0.0,5.9,22.5,6.1,0.0,0.0,41.8,99,126,-0.8
Amir Coffey,8:19,1.000,1.000,.000,.000,13.4,12.3,12.8,0.0,0.0,0.0,0.0,5.5,206,134,0.2
Mason Plumlee,1:30,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,136,-21.8
Brandon Boston Jr.,1:14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,-6.4
Kobe Brown,1:14,,,,,90.5,0.0,43.2,0.0,0.0,0.0,,0.0,219,140,9.9
Bones Hyland,1:14,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,140,-42.2
Daniel Theis,Did Not Play
Team Totals,240,.526,.463,.378,.390,37.2,61.7,50.0,67.6,4.6,4.3,8.6,100.0,117.3,132.4,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,43:07,9,26,.346,1,10,.100,9,11,.818,1,6,7,13,1,1,5,5,28,+9
Kyrie Irving,42:18,11,19,.579,5,9,.556,3,5,.600,1,5,6,4,2,2,1,3,30,+22
Derrick Jones Jr.,36:05,3,5,.600,0,1,.000,0,0,,2,3,5,2,0,1,1,3,6,+9
P.J. Washington,34:43,4,9,.444,4,8,.500,2,4,.500,2,3,5,2,2,0,1,2,14,-2
Daniel Gafford,22:28,5,8,.625,0,0,,3,3,1.000,4,2,6,0,0,0,1,3,13,+17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,24:04,3,3,1.000,0,0,,4,8,.500,5,4,9,3,1,0,0,4,10,-2
Josh Green,21:27,3,5,.600,1,3,.333,0,0,,3,1,4,1,0,0,0,3,7,+7
Dante Exum,7:00,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,+7
Maxi Kleber,5:06,1,3,.333,1,3,.333,1,2,.500,0,1,1,0,0,0,0,0,4,+1
Jaden Hardy,1:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
A.J. Lawson,1:14,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Dwight Powell,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Markieff Morris,Did Not Play
Team Totals,240,40,83,.482,12,36,.333,22,33,.667,18,27,45,26,6,4,9,24,114,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,11:48,4,11,.364,0,4,.000,6,7,.857,1,0,1,4,0,0,0,2,14,+11
Kyrie Irving,11:03,0,1,.000,0,1,.000,0,0,,0,2,2,1,1,0,0,1,0,+13
Derrick Jones Jr.,7:15,0,0,,0,0,,0,0,,1,3,4,0,0,0,0,0,0,+10
P.J. Washington,9:01,2,5,.400,2,4,.500,2,2,1.000,1,0,1,0,0,0,0,0,8,0
Daniel Gafford,4:10,2,4,.500,0,0,,0,0,,3,0,3,0,0,0,0,2,4,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,7:50,1,1,1.000,0,0,,0,2,.000,2,1,3,1,0,0,0,1,2,+4
Josh Green,4:45,1,2,.500,1,2,.500,0,0,,2,0,2,0,0,0,0,1,3,-2
Dante Exum, 
Maxi Kleber,4:08,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,0
Jaden Hardy, 
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,11,27,.407,4,14,.286,8,11,.727,10,7,17,6,1,0,0,7,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,10:29,1,4,.250,0,3,.000,2,2,1.000,0,1,1,3,1,1,3,0,4,-11
Kyrie Irving,10:48,1,5,.200,0,1,.000,0,0,,1,2,3,1,0,1,1,1,2,-5
Derrick Jones Jr.,10:29,1,2,.500,0,0,,0,0,,0,0,0,1,0,1,1,2,2,-11
P.J. Washington,9:10,1,2,.500,1,2,.500,0,2,.000,0,1,1,0,0,0,0,1,3,-9
Daniel Gafford,8:07,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,4,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,3:53,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-2
Josh Green,4:35,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Dante Exum,1:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
Maxi Kleber,0:58,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,+1
Jaden Hardy, 
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,6,16,.375,1,6,.167,5,8,.625,1,8,9,6,1,3,6,5,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,22:17,5,15,.333,0,7,.000,8,9,.889,1,1,2,7,1,1,3,2,18,0
Kyrie Irving,21:51,1,6,.167,0,2,.000,0,0,,1,4,5,2,1,1,1,2,2,+8
Derrick Jones Jr.,17:44,1,2,.500,0,0,,0,0,,1,3,4,1,0,1,1,2,2,-1
P.J. Washington,18:11,3,7,.429,3,6,.500,2,4,.500,1,1,2,0,0,0,0,1,11,-9
Daniel Gafford,12:17,3,6,.500,0,0,,2,2,1.000,3,1,4,0,0,0,1,2,8,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,11:43,1,1,1.000,0,0,,0,2,.000,2,3,5,2,0,0,0,1,2,+2
Josh Green,9:20,2,3,.667,1,2,.500,0,0,,2,0,2,0,0,0,0,1,5,-2
Dante Exum,1:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
Maxi Kleber,5:06,1,3,.333,1,3,.333,1,2,.500,0,1,1,0,0,0,0,0,4,+1
Jaden Hardy, 
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,120,17,43,.395,5,20,.250,13,19,.684,11,15,26,12,2,3,6,12,52,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,10:04,3,6,.500,1,2,.500,0,0,,0,4,4,3,0,0,1,0,7,+10
Kyrie Irving,9:41,5,6,.833,3,3,1.000,0,2,.000,0,1,1,2,1,1,0,1,13,+15
Derrick Jones Jr.,7:35,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+11
P.J. Washington,10:21,1,2,.500,1,2,.500,0,0,,1,2,3,2,2,0,0,1,3,+15
Daniel Gafford,7:52,2,2,1.000,0,0,,1,1,1.000,1,0,1,0,0,0,0,0,5,+16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,4:08,1,1,1.000,0,0,,1,2,.500,2,0,2,0,0,0,0,2,3,-1
Josh Green,6:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,+4
Dante Exum,4:15,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,+5
Maxi Kleber, 
Jaden Hardy, 
A.J. Lawson, 
Dwight Powell, 
Markieff Morris,Did Not Play
Team Totals,60,14,22,.636,5,9,.556,2,5,.400,4,7,11,9,3,1,1,5,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,10:46,1,5,.200,0,1,.000,1,2,.500,0,1,1,3,0,0,1,3,3,-1
Kyrie Irving,10:46,5,7,.714,2,4,.500,3,3,1.000,0,0,0,0,0,0,0,0,15,-1
Derrick Jones Jr.,10:46,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,4,-1
P.J. Washington,6:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-8
Daniel Gafford,2:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,8:13,1,1,1.000,0,0,,3,4,.750,1,1,2,1,1,0,0,1,5,-3
Josh Green,6:03,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,1,0,+5
Dante Exum,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Maxi Kleber, 
Jaden Hardy,1:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
A.J. Lawson,1:14,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Dwight Powell,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Markieff Morris,Did Not Play
Team Totals,60,9,18,.500,2,7,.286,7,9,.778,3,5,8,5,1,0,2,7,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,20:50,4,11,.364,1,3,.333,1,2,.500,0,5,5,6,0,0,2,3,10,+9
Kyrie Irving,20:27,10,13,.769,5,7,.714,3,5,.600,0,1,1,2,1,1,0,1,28,+14
Derrick Jones Jr.,18:21,2,3,.667,0,1,.000,0,0,,1,0,1,1,0,0,0,1,4,+10
P.J. Washington,16:32,1,2,.500,1,2,.500,0,0,,1,2,3,2,2,0,1,1,3,+7
Daniel Gafford,10:11,2,2,1.000,0,0,,1,1,1.000,1,1,2,0,0,0,0,1,5,+19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dereck Lively II,12:21,2,2,1.000,0,0,,4,6,.667,3,1,4,1,1,0,0,3,8,-4
Josh Green,12:07,1,2,.500,0,1,.000,0,0,,1,1,2,1,0,0,0,2,2,+9
Dante Exum,5:29,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,+4
Maxi Kleber, 
Jaden Hardy,1:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
A.J. Lawson,1:14,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Dwight Powell,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Markieff Morris,Did Not Play
Team Totals,120,23,40,.575,7,16,.438,9,14,.643,7,12,19,14,4,1,3,12,62,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,43:07,.454,.365,.385,.423,2.4,15.5,8.7,48.3,1.3,2.2,14.0,37.5,109,117,0.8
Kyrie Irving,42:18,.708,.711,.474,.263,2.4,13.2,7.6,16.5,2.6,4.5,4.5,23.6,147,114,14.4
Derrick Jones Jr.,36:05,.600,.600,.200,.000,5.7,9.3,7.4,7.4,0.0,2.6,16.7,7.5,125,122,-2.8
P.J. Washington,34:43,.651,.667,.889,.444,5.9,9.6,7.7,8.0,3.2,0.0,8.5,15.3,135,116,5.7
Daniel Gafford,22:28,.697,.625,.000,.375,18.2,9.9,14.2,0.0,0.0,0.0,9.7,20.7,143,123,-1.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dereck Lively II,24:04,.767,1.000,.000,2.667,21.2,18.6,19.9,17.6,2.3,0.0,0.0,12.2,175,113,9.5
Josh Green,21:27,.700,.700,.600,.000,14.3,5.2,9.9,6.7,0.0,0.0,0.0,10.5,167,125,1.1
Dante Exum,7:00,.333,.333,.333,.000,0.0,15.9,7.6,20.7,0.0,0.0,0.0,19.3,98,120,-10.4
Maxi Kleber,5:06,.515,.500,1.000,.667,0.0,21.9,10.5,0.0,0.0,0.0,0.0,34.3,115,117,-0.2
Jaden Hardy,1:14,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0,129,-45.5
A.J. Lawson,1:14,.000,.000,1.000,.000,0.0,90.5,43.2,0.0,0.0,0.0,0.0,36.5,0,83,-39.6
Dwight Powell,1:14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-7.8
Markieff Morris,Did Not Play
