,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,41:58,11,25,.440,2,8,.250,9,9,1.000,1,12,13,6,1,1,5,2,33,+8
Jaylen Brown,40:39,13,17,.765,2,3,.667,0,2,.000,2,7,9,3,1,0,2,4,28,+18
Al Horford,38:46,1,7,.143,0,6,.000,0,0,,3,4,7,2,0,0,0,3,2,+12
Jrue Holiday,37:40,7,10,.700,3,4,.750,1,2,.500,2,6,8,5,0,1,1,1,18,+15
Derrick White,36:54,4,13,.308,3,8,.375,1,1,1.000,0,3,3,3,1,1,1,1,12,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,22:20,2,4,.500,1,2,.500,0,0,,1,2,3,3,0,0,1,1,5,-4
Sam Hauser,9:56,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,1,0,6,+10
Luke Kornet,7:51,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,1,2,+1
Oshae Brissett,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Svi Mykhailiuk,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jaden Springer,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Jordan Walsh,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Neemias Queta,Did Not Play
Xavier Tillman Sr.,Did Not Play
Team Totals,240,41,80,.513,13,34,.382,11,14,.786,9,35,44,22,3,4,11,14,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,12:00,5,9,.556,2,4,.500,0,0,,0,4,4,2,1,0,2,0,12,+2
Jaylen Brown,8:25,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,-1
Al Horford,9:03,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,+4
Jrue Holiday,9:03,3,4,.750,1,2,.500,1,2,.500,1,1,2,2,0,0,0,1,8,+4
Derrick White,8:25,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,0,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Payton Pritchard,6:32,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,1,0,2,+1
Sam Hauser,3:35,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+3
Luke Kornet,2:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Oshae Brissett, 
Svi Mykhailiuk, 
Jaden Springer, 
Jordan Walsh, 
Neemias Queta,Did Not Play
Xavier Tillman Sr.,Did Not Play
Team Totals,60,12,22,.545,5,11,.455,1,2,.500,1,9,10,7,2,0,4,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,6:54,1,3,.333,0,1,.000,4,4,1.000,0,3,3,1,0,1,2,1,6,0
