,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,41:58,12,23,.522,0,2,.000,0,0,,3,9,12,7,1,0,2,3,24,+5
Tyrese Haliburton,40:28,8,18,.444,6,14,.429,3,3,1.000,0,3,3,10,3,1,3,2,25,-11
Aaron Nesmith,39:51,6,12,.500,1,5,.200,1,1,1.000,3,3,6,1,2,0,5,6,14,+1
Myles Turner,39:16,9,13,.692,3,4,.750,2,2,1.000,1,9,10,4,0,2,4,3,23,-11
Andrew Nembhard,34:47,5,10,.500,2,4,.500,0,0,,0,3,3,7,0,0,1,2,12,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,24:35,6,11,.545,0,1,.000,1,2,.500,2,1,3,4,1,0,1,2,13,-8
Obi Toppin,21:44,6,8,.750,1,2,.500,2,2,1.000,0,4,4,2,1,0,3,1,15,+2
Ben Sheppard,17:24,1,4,.250,0,3,.000,0,0,,1,2,3,2,0,0,2,3,2,+5
Isaiah Jackson,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+1
Jalen Smith,0:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-2
Kendall Brown,Did Not Play
James Johnson,Did Not Play
Doug McDermott,Did Not Play
Jarace Walker,Did Not Play
Team Totals,265,53,99,.535,13,35,.371,9,10,.900,10,34,44,38,8,4,21,23,128,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,5:43,2,5,.400,0,0,,0,0,,1,1,2,2,0,0,0,0,4,-5
Tyrese Haliburton,9:00,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,1,0,3,-7
Aaron Nesmith,7:46,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,2,0,0,-3
Myles Turner,9:16,2,5,.400,0,1,.000,2,2,1.000,1,1,2,2,0,0,0,0,6,-9
Andrew Nembhard,4:46,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. McConnell,7:14,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,1,0,4,+4
Obi Toppin,7:14,5,6,.833,1,1,1.000,0,0,,0,2,2,0,1,0,0,0,11,+4
Ben Sheppard,7:14,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+4
Isaiah Jackson,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Jalen Smith, 
Kendall Brown,Did Not Play
James Johnson,Did Not Play
Doug McDermott,Did Not Play
Jarace Walker,Did Not Play
