,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka DonÄiÄ,38:14,12,26,.462,4,12,.333,2,5,.400,0,10,10,1,2,0,4,1,30,-10
Kyrie Irving,36:30,6,19,.316,0,5,.000,0,0,,0,3,3,2,2,0,3,2,12,-19
P.J. Washington,36:07,5,11,.455,0,3,.000,4,6,.667,3,5,8,1,0,0,0,3,14,-15
Derrick Jones Jr.,28:47,2,9,.222,1,2,.500,0,0,,2,4,6,0,1,0,0,1,5,-12
Daniel Gafford,14:19,3,3,1.000,0,0,,2,2,1.000,3,0,3,1,1,0,0,0,8,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,20:16,1,4,.250,1,1,1.000,0,0,,1,2,3,0,0,0,0,0,3,-5
Maxi Kleber,18:40,1,1,1.000,0,0,,0,0,,0,0,0,1,0,1,1,2,2,-15
Dereck Lively II,18:29,1,1,1.000,0,0,,0,2,.000,1,4,5,1,1,0,2,5,2,-15
Jaden Hardy,10:41,4,8,.500,1,3,.333,4,4,1.000,0,3,3,1,0,0,0,1,13,-3
Tim Hardaway Jr.,7:42,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0
Dante Exum,5:17,0,0,,0,0,,0,0,,0,2,2,1,0,0,1,0,0,+7
Dwight Powell,4:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+7
A.J. Lawson,Did Not Play
Markieff Morris,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Team Totals,240,35,84,.417,7,27,.259,12,19,.632,10,33,43,9,8,1,11,16,89,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka DonÄiÄ,8:51,3,7,.429,1,4,.250,0,0,,0,2,2,1,0,0,2,1,7,-6
Kyrie Irving,9:45,2,5,.400,0,1,.000,0,0,,0,0,0,0,1,0,0,0,4,-18
P.J. Washington,7:43,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-6
Derrick Jones Jr.,6:36,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-7
Daniel Gafford,7:03,1,1,1.000,0,0,,0,0,,1,0,1,1,1,0,0,0,2,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,5:24,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-10
Maxi Kleber,4:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-11
Dereck Lively II,4:57,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-9
Jaden Hardy,5:24,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-10
Tim Hardaway Jr., 
Dante Exum, 
Dwight Powell, 
A.J. Lawson,Did Not Play
Markieff Morris,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Team Totals,60,9,24,.375,2,8,.250,0,0,,2,4,6,3,3,0,2,3,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
