Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C-PF,24,TOT,50,11,21.9,3.4,6.8,.499,0.4,1.5,.267,3.0,5.3,.564,.528,0.9,1.4,.620,2.6,3.8,6.5,1.4,0.6,0.8,1.1,1.9,8.0
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
1,Precious Achiuwa,PF,24,NYK,25,11,26.2,3.6,6.8,.538,0.3,1.1,.250,3.4,5.6,.596,.559,0.8,1.2,.690,3.3,4.2,7.5,1.0,0.6,1.0,1.0,2.1,8.4
2,Bam Adebayo,C,26,MIA,46,46,34.6,7.7,15.1,.512,0.0,0.2,.091,7.7,14.8,.519,.513,4.8,6.2,.780,2.3,8.3,10.6,4.1,1.1,1.0,2.4,2.5,20.3
3,Ochai Agbaji,SG,23,TOT,56,10,19.2,2.1,4.9,.425,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.739,0.7,1.7,2.4,0.9,0.5,0.6,0.7,1.3,5.4
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
3,Ochai Agbaji,SG,23,TOR,5,0,14.6,2.2,5.2,.423,1.0,3.0,.333,1.2,2.2,.545,.519,0.4,0.6,.667,0.8,0.8,1.6,0.8,0.6,0.4,1.4,1.4,5.8
4,Santi Aldama,PF,23,MEM,45,19,24.8,3.9,9.1,.428,1.7,4.9,.341,2.2,4.2,.529,.519,0.8,1.4,.597,1.1,4.4,5.6,2.2,0.6,0.7,1.1,1.5,10.3
5,Nickeil Alexander-Walker,SG,25,MIN,57,16,22.9,2.5,5.9,.425,1.5,3.9,.376,1.1,2.1,.517,.547,0.5,0.7,.763,0.4,1.6,2.0,2.5,0.8,0.5,1.0,1.9,7.0
6,Grayson Allen,SG,28,PHO,51,51,33.0,4.3,8.4,.509,2.5,5.2,.485,1.7,3.2,.549,.660,1.8,2.0,.883,0.7,3.3,4.0,3.2,0.8,0.6,1.3,2.2,12.8
7,Jarrett Allen,C,25,CLE,50,50,30.9,6.5,10.1,.644,0.0,0.1,.000,6.5,10.0,.651,.644,2.8,3.8,.734,3.4,7.1,10.6,2.7,0.8,1.1,1.8,2.2,15.8
8,Jose Alvarado,PG,25,NOP,39,0,16.8,2.5,6.1,.414,1.3,3.5,.358,1.3,2.6,.490,.517,0.7,1.0,.675,0.4,1.8,2.2,1.9,1.1,0.4,0.7,1.5,7.0
9,Kyle Anderson,PF,30,MIN,57,3,22.1,2.4,5.1,.476,0.1,0.6,.206,2.3,4.5,.512,.488,1.2,1.8,.700,0.8,2.8,3.6,4.1,0.8,0.5,1.2,1.5,6.2
10,Giannis Antetokounmpo,PF,29,MIL,55,55,35.1,11.5,18.7,.617,0.5,1.7,.263,11.1,17.0,.652,.629,7.3,11.1,.654,2.5,8.7,11.3,6.4,1.3,1.1,3.5,3.0,30.8
11,Thanasis Antetokounmpo,PF,31,MIL,23,0,4.6,0.5,0.9,.524,0.0,0.0,.000,0.5,0.9,.550,.524,0.0,0.0,,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.9,1.0
12,Cole Anthony,PG,23,ORL,56,0,22.9,4.1,9.4,.437,1.1,3.2,.331,3.1,6.2,.491,.493,2.6,3.1,.841,0.9,3.1,4.0,3.2,0.8,0.4,1.7,2.4,11.9
13,OG Anunoby,SF,26,TOT,41,41,34.1,5.8,11.7,.498,2.1,5.5,.379,3.7,6.1,.606,.588,1.6,2.0,.774,1.0,3.2,4.2,2.3,1.3,0.7,1.5,2.3,15.3
13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
13,OG Anunoby,SF,26,NYK,14,14,35.7,5.8,11.2,.516,1.8,4.6,.391,4.0,6.6,.602,.596,2.3,2.7,.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0
15,Deni Avdija,SF,23,WAS,55,55,28.1,5.0,9.8,.513,1.1,2.8,.404,3.9,7.0,.557,.571,2.4,3.2,.740,1.0,5.5,6.5,3.7,0.8,0.4,2.0,2.5,13.6
16,Deandre Ayton,C,25,POR,38,38,31.8,6.5,11.6,.564,0.0,0.0,,6.5,11.6,.564,.564,1.0,1.2,.809,3.0,7.3,10.4,1.7,1.0,0.8,1.7,2.3,14.1
17,Udoka Azubuike,C,24,PHO,14,0,7.6,1.1,1.6,.727,0.0,0.0,,1.1,1.6,.727,.727,0.2,0.8,.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5
18,Ibou Badji,C,21,POR,17,1,11.7,0.7,1.1,.632,0.0,0.0,,0.7,1.1,.632,.632,0.3,0.6,.500,1.1,1.7,2.8,0.8,0.1,1.2,0.8,2.4,1.7
19,Marvin Bagley III,C,24,TOT,39,17,20.0,4.5,7.9,.573,0.1,0.3,.231,4.5,7.6,.588,.578,2.1,2.8,.755,2.7,3.2,5.9,1.2,0.4,0.6,1.2,1.8,11.3
19,Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2
19,Marvin Bagley III,C,24,WAS,13,7,23.3,5.4,9.8,.547,0.2,0.5,.286,5.2,9.3,.562,.555,2.5,3.8,.673,4.5,4.1,8.6,1.4,0.8,0.7,1.5,2.2,13.5
